Accession,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Highest mean condition,Lowest mean condition,Mass,Description,COVID_POS_1,COVID_POS_2,COVID_POS_3,COVID_POS_4,COVID_POS_5,COVID_POS_6,COVID_POS_7,COVID_POS_8,COVID_POS_9,COVID_POS_10,COVID_POS_11,COVID_POS_12,COVID_POS_13,COVID_POS_14,COVID_POS_15,COVID_NEG_1,COVID_NEG_2,COVID_NEG_3,COVID_NEG_4,COVID_NEG_5,COVID_NEG_6,COVID_NEG_7,COVID_NEG_8,COVID_NEG_9,COVID_NEG_10,COVID_NEG_11,COVID_NEG_12,COVID_NEG_13,COVID_NEG_14,COVID_NEG_15,COVID_POS_1,COVID_POS_2,COVID_POS_3,COVID_POS_4,COVID_POS_5,COVID_POS_6,COVID_POS_7,COVID_POS_8,COVID_POS_9,COVID_POS_10,COVID_POS_11,COVID_POS_12,COVID_POS_13,COVID_POS_14,COVID_POS_15,COVID_NEG_1,COVID_NEG_2,COVID_NEG_3,COVID_NEG_4,COVID_NEG_5,COVID_NEG_6,COVID_NEG_7,COVID_NEG_8,COVID_NEG_9,COVID_NEG_10,COVID_NEG_11,COVID_NEG_12,COVID_NEG_13,COVID_NEG_14,COVID_NEG_15,t.test,Rank,BHpVal
P02790,9,8,61.1066,3.24E-06,0.000536142,2.951534525,0.999853117,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,52417.7931,HEMO_HUMAN Hemopexin OS=Homo sapiens OX=9606 GN=HPX PE=1 SV=2,826.6159456,520.4344299,381.8678224,395.2721358,565.0209818,1220.419523,785.0442791,386.152429,609.8669523,3093.83912,514.0227459,360.6455293,460.3846624,866.8748145,961.4285636,277.9669478,284.3516544,286.1051722,365.4853727,242.6768114,213.8472785,292.8800638,300.2653921,211.6382663,404.1645806,180.3111771,212.0770852,226.6775641,278.6816361,270.897485,2.917303779,2.71636602,2.581913065,2.5968962,2.752064575,3.086509146,2.894894153,2.586758771,2.7852351,3.490497727,2.710982337,2.557080553,2.663120847,2.937956385,2.982917021,2.443993158,2.453855759,2.456525709,2.562870001,2.38502828,2.330103728,2.46668981,2.477505279,2.325594195,2.606558251,2.256022648,2.326493746,2.355408537,2.445108352,2.432804973,1.77726E-05,1,0.002932481
P0DOX5;P01857,29,19,202.763,0.00021263,0.009606362,1.437905939,0.983939901,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,49956.1532,IGG1_HUMAN Immunoglobulin gamma-1 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2,7994.062321,7409.380309,6659.423926,7897.048166,8191.477777,6506.671042,8473.965106,8574.425732,5019.76365,10900.44961,7780.708005,5524.593815,5760.732148,4335.332305,7591.546447,4785.859025,4630.75459,8365.021517,5151.62697,4626.74276,5152.066835,5921.434833,7089.17771,4426.709584,5080.414985,3330.641765,3988.526158,3840.807964,4735.88502,4414.445542,3.90276753,3.869781887,3.823436662,3.897464787,3.913362257,3.813358851,3.928086671,3.933205043,3.700683269,4.037444412,3.891019117,3.742300353,3.760477683,3.637022392,3.880330253,3.679959902,3.665651766,3.922467062,3.711944408,3.665275354,3.711981488,3.772426954,3.850595863,3.646081031,3.705899188,3.522527924,3.600812445,3.584422594,3.67540115,3.644876164,0.000212975,2,0.017570398
P04004,2,2,14.0029,0.000118812,0.009606362,2.649604415,0.990597675,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,55104.0374,VTNC_HUMAN Vitronectin OS=Homo sapiens OX=9606 GN=VTN PE=1 SV=1,112.9871738,98.15255093,55.73953781,75.91050563,78.37120708,271.5749263,128.2371225,70.14385479,70.88538387,537.7134246,57.03882775,74.50027269,66.90263049,114.7965221,99.52924881,40.12013678,48.6276103,50.25406076,52.11988142,56.67026369,59.22666051,56.28037408,67.64188056,27.04492997,65.21214012,33.29734846,31.03382997,44.91030994,36.9626896,52.3974017,2.053029146,1.991901591,1.746163363,1.880301884,1.894156536,2.43388967,2.108013764,1.845989629,1.850556696,2.730550879,1.756170591,1.872157862,1.825443194,2.059928731,1.997950726,1.603362405,1.686882928,1.70117116,1.717003419,1.753355233,1.772517246,1.750356975,1.830215673,1.432085861,1.814328453,1.522409651,1.491835376,1.652346052,1.567763565,1.719309752,0.000249025,3,0.013696384
P01871;P0DOX6,2,2,13.8275,0.000289451,0.009606362,3.444755129,0.978971582,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,50124.1273,IGHM_HUMAN Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4,292.0774577,265.4640526,83.55850004,201.2767991,522.8861211,45.9768674,199.5314592,204.9111576,22.81507155,151.5625129,150.5239435,41.58994528,54.76486341,36.65911995,188.3398241,35.24919244,13.1362473,10.76003696,21.95565008,21.97384976,16.33122129,189.5647639,50.89667733,21.38200577,186.7644049,8.270519675,18.94129418,89.63285482,9.266412362,20.56651,2.46549804,2.42400572,1.921990635,2.303793717,2.718407115,1.662539378,2.300011379,2.311565607,1.358221835,2.180591797,2.177605588,1.618988349,1.738502009,1.564182035,2.27494216,1.547149172,1.118471316,1.031813763,1.341546301,1.341906151,1.213018663,2.277757614,1.706689431,1.330048442,2.271294108,0.917532799,1.277409649,1.952467229,0.966911623,1.313160601,0.000292758,4,0.012076272
P00738;P00739,9,9,62.9398,0.000294277,0.009606362,1.32509701,0.978671289,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,45889.6837,HPT_HUMAN Haptoglobin OS=Homo sapiens OX=9606 GN=HP PE=1 SV=1,2674.233804,2233.261731,2175.771283,2136.075399,2671.645664,3411.32092,2680.697526,2035.609704,2658.248039,4110.450774,2586.678516,2350.187306,2137.044856,1916.956416,2862.86047,2085.100413,1927.682839,2631.800378,2440.308886,2289.79101,1786.959871,1956.703662,2046.670105,1874.284379,1751.423987,1512.812556,1616.879889,1620.42299,1779.337889,1840.737011,3.427199374,3.348939624,3.33761324,3.329616578,3.426778858,3.532922578,3.428247813,3.308694513,3.424595502,3.613889452,3.412742456,3.371102476,3.329813638,3.282612239,3.456800182,3.319126974,3.285035581,3.420252945,3.387444801,3.359795846,3.2521148,3.291525058,3.311047846,3.272835486,3.243391293,3.17978512,3.208677759,3.209628396,3.250258427,3.264991744,0.000327212,5,0.010798011
Q16695;P68431;P84243;Q6NXT2;Q71DI3,2,2,7.1088,0.000348451,0.009606362,3.197367656,0.975385301,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,15622.3388,H31T_HUMAN Histone H3.1t OS=Homo sapiens OX=9606 GN=HIST3H3 PE=1 SV=3,197.8738943,388.4953415,152.6771592,171.6625596,182.7989292,386.6005053,639.4709818,55.81200039,246.0748852,359.2498429,113.9659726,52.67964424,174.639877,47.21090271,110.1703434,105.6462923,20.55120447,33.85721498,103.4327072,87.15289886,21.26318525,170.3302431,109.6347208,105.8474375,46.91872634,17.97172462,18.10981616,70.14186743,46.64525134,68.14755524,2.296388501,2.589385815,2.183774071,2.234675584,2.261973647,2.587262417,2.805820842,1.746727589,2.391067291,2.555396587,2.056775201,1.721642833,2.242143417,1.674042305,2.042064703,2.02385426,1.31283728,1.529651231,2.014657892,1.940281837,1.327628323,2.231291766,2.039948115,2.024680348,1.671346214,1.254589755,1.257914042,1.845977324,1.668807438,1.83345028,0.000348968,6,0.009596615
Q5QNW6;Q93079;O60814;P23527;P57053;P58876;P62807;Q99877;P06899;P33778;Q16778;Q99879;Q99880;Q8N257,9,8,48.0425,0.000757571,0.015510486,1.197935058,0.954150296,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,13920.1896,H2B2F_HUMAN Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=HIST2H2BF PE=1 SV=3,1832.83879,1951.004852,1748.013675,1833.144155,1672.95351,1895.926486,1882.454428,1303.300358,1788.173582,2445.143852,1748.160603,1657.901099,1609.85857,1470.364175,1787.585993,1411.688163,1684.878771,1684.228723,1760.201241,1707.272824,1527.823937,1615.010896,1514.093816,1381.545055,1199.262868,1314.027771,1289.259194,1369.476452,1452.328737,1316.170007,3.263124268,3.29025835,3.242544826,3.263196618,3.223483872,3.277821494,3.274724471,3.115044515,3.252409675,3.388304414,3.242581329,3.219558619,3.206787724,3.167424913,3.252266943,3.149738773,3.226568658,3.22640107,3.245562323,3.232302927,3.18407331,3.208175457,3.180152786,3.140365053,3.078914387,3.118604544,3.110340237,3.136554569,3.162064931,3.11931199,0.000779538,7,0.018374816
P01593;P01594,2,2,13.2051,0.000937685,0.015510486,1.554098761,0.946167818,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,13019.5775,KVD33_HUMAN Immunoglobulin kappa variable 1D-33 OS=Homo sapiens OX=9606 GN=IGKV1D-33 PE=1 SV=2,94.65422028,68.03320289,83.24342686,113.0930674,155.7977705,145.3131604,91.03786522,109.5635935,65.35453054,124.7236154,63.11302026,80.56273449,49.93116482,66.91858351,65.36895949,82.69185878,44.54138112,87.03448018,59.6239045,75.39431122,57.14730748,65.29420565,86.58542596,45.66360768,50.68843865,32.11386194,47.70672586,46.34228095,64.1084698,40.92051473,1.976139982,1.832720917,1.92034995,2.053435983,2.192561239,2.162304948,1.959222065,2.039666268,1.815275699,2.095948691,1.800118964,1.906134199,1.698371698,1.82554674,1.815371572,1.917462754,1.648763679,1.93969134,1.775420413,1.877338578,1.756995773,1.814874643,1.937444798,1.65957022,1.704908914,1.506692536,1.678579612,1.665977406,1.806915411,1.611941088,0.000952643,8,0.019648264
Q562R1,14,10,76.7052,0.00085089,0.015510486,1.191215276,0.949934754,SARS-CoV-2 Negative,SARS-CoV-2 Positive ,42345.4528,ACTBL_HUMAN Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,583.1425764,594.5545119,686.2738844,698.4616252,567.6168367,620.3420981,641.0760412,717.2545788,639.0626311,619.6887855,538.4495232,620.0132725,642.9784257,711.7964797,744.5483844,859.9365564,759.056498,718.0105844,651.6502289,604.9932718,746.0412056,729.051008,668.2848729,784.573223,756.4257371,982.6500646,882.2556028,932.0457663,797.9999737,592.7817462,2.765774751,2.774191679,2.836497472,2.84414255,2.754055269,2.792631255,2.806909546,2.855673329,2.805543423,2.792173637,2.731144997,2.792400986,2.808196401,2.852355836,2.871892926,2.934466411,2.880274102,2.856130846,2.814014552,2.781750545,2.872762815,2.862757915,2.824961631,2.894633482,2.878766297,2.992398887,2.945594425,2.969437238,2.902002877,2.772894822,0.001051528,9,0.019278008
Q9UKL4,2,2,17.3019,0.001126349,0.016937474,3.177865641,0.938421396,SARS-CoV-2 Positive ,SARS-CoV-2 Negative,36663.0473,CXD2_HUMAN Gap junction delta-2 protein OS=Homo sapiens OX=9606 GN=GJD2 PE=1 SV=1,815.7708298,636.5002924,499.6740705,791.4131256,1105.532788,4015.576335,1756.584074,945.3725242,241.7666962,5702.684527,567.3016181,542.7400907,711.3304335,801.6861959,596.2937986,439.8149505,374.7383974,351.0747667,714.6075858,413.8328453,331.8102886,524.4203996,377.6246358,366.6808251,703.241539,112.2156247,413.2135341,332.3087611,289.2120166,463.8449828,2.911568172,2.803798607,2.698686813,2.898403249,3.043571628,3.603747886,3.244668941,2.975602976,2.383396476,3.756079347,2.753814022,2.734591903,2.85207139,2.904004406,2.775460293,2.643269988,2.573728195,2.545399616,2.854067622,2.616824957,2.520889848,2.719679577,2.577060319,2.5642882,2.847104516,2.050053332,2.616174538,2.521541791,2.461216334,2.666372863,0.001543157,10,0.025462093
