"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"439","sp|P06310|KV206_HUMAN",393.650539360251,1323.45147375978,2556.7427000588,113665.422021432,138868.771827892,8404.64990578438
"440","sp|P01614|KV201_HUMAN",18239.5156225351,8.63492754063724e-06,1.03688975322679e-05,1.01562225687844e-05,1.04640573663138e-05,1605442.15607093
"441","sp|P02745|C1QA_HUMAN",58905230.791059,34971456.5395808,43860436.5614933,179765139.467484,150682426.074919,30576420.4957541
"442","sp|P01766|HV305_HUMAN",72491117.35398,52414010.1716681,72271215.7999074,356483412.164332,252183782.528163,369285641.902946
"443","sp|P13473|LAMP2_HUMAN",6212139.77051875,1254447.57364746,3307536.12721228,5837623.32824,7695532.11555468,6352147.64794244
"444","sp|P11684|UTER_HUMAN",6649205.20753551,5243724.03891034,27166511.534542,27218676.4843422,61424016.740262,41342765.7407379
"445","sp|P40189|IL6RB_HUMAN",129739.691781749,8.63492754063724e-06,189.806334007619,1462934.64840783,889122.114170739,800225.157344758
"446","sp|P01743|HV102_HUMAN",23006756.8072823,10448262.3241711,16693925.0269514,112734070.513507,67807091.7337134,104325885.423893
"447","sp|P31949|S10AB_HUMAN",1378202.77129032,1159307.41613763,2286564.66814899,385383.141834835,481288.15439669,1027182.51844999
"448","sp|P14543|NID1_HUMAN",1222052.38447548,1682594.11328609,1857845.41737727,1943886.50165762,2393239.25547217,3805689.61315028
"449","sp|P35590|TIE1_HUMAN",1060758.06764001,1178256.16622508,385977.63909544,1102329.53745403,1891051.76794192,2775531.53203696
"450","sp|Q15904|VAS1_HUMAN",694835.508989826,281970.354504248,730525.933033736,837916.763090191,957426.016117998,1566121.00958616
"451","sp|P28827|PTPRM_HUMAN",202507.774589215,84556.433991355,21347.287519512,1432805.0583794,1726771.41442411,1515461.1261881
"452","sp|P30530|UFO_HUMAN",1253970.77977361,208696.958248542,617404.939115715,5033007.3801208,6693892.31638182,8927889.61532667
"453","sp|P01714|LV301_HUMAN",15965895.8878123,13643185.5142068,16279169.1256606,150312094.018009,126615094.132397,152882102.47877
"454","sp|P60900|PSA6_HUMAN",1103074.75243704,1234779.20078767,1175221.54286194,309483.809849014,329626.948857962,387560.950953084
"455","sp|P01593|KV101_HUMAN",325267941.068474,222781130.548441,243669092.008296,1533589607.88644,1171974425.02715,1582652751.01262
"456","sp|P01613|KV121_HUMAN",21122582.75841,12779692.7601431,26025932.8059925,184843250.751876,116151036.766083,147498929.856279
"457","sp|P01597|KV105_HUMAN",320309588.308284,219327159.532186,238484643.242162,1462496049.90495,1119654138.19558,1518054679.54272
"458","sp|P01606|KV114_HUMAN",320309588.308284,219327159.532186,238484643.242162,1462496049.90495,1119654138.19558,1518054679.54272
"459","sp|Q9H6X2|ANTR1_HUMAN",426756.530057227,456967.498764164,1991.56603592683,83098.7057259945,411283.000456866,560682.66752971
"460","sp|Q9BQE3|TBA1C_HUMAN",293086.542443221,188852.656856946,338091.517157788,29145.9364828599,117089.593753703,77496.5554978462
"461","sp|Q8NBP7|PCSK9_HUMAN",157874.112039248,274598.950955692,310665.699507936,227031.7481632,1832848.70525645,60406.0182945758
