"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"117","sp|HBB_HUMAN|",27.7394621467906,28.0277382760062,32.9569038833936,31.5657313638067,26.3281119127606,27.4952350895119
"118","sp|P05543|THBG_HUMAN",29.2920441594475,29.3264684785371,28.8758683539842,28.4594337323233,28.2053607714562,27.9220030857441
"119","sp|RETBP_HUMAN|",29.6621378862316,29.8198370309764,30.3869770229936,29.4289739635719,30.0421369942838,29.4218853768809
"120","sp|P02766|TTHY_HUMAN",32.5012207065995,32.7737617019049,33.301345824678,32.2428740543976,32.4184467525736,31.9746599608789
"121","sp|P08571|CD14_HUMAN",29.3523257247259,29.2380372041006,29.671600133015,29.4181058105158,29.3199024019021,29.7875622469259
"122","sp|P08123|CO1A2_HUMAN",26.5432514246875,26.7988709963018,26.4956364253326,26.6986461163803,27.7366591301519,27.2795908689176
"123","sp|P18206|VINC_HUMAN",23.3701008752873,23.3963342102204,23.4718870348912,21.9027443781901,23.3501930492339,23.3366334574071
"124","sp|P08519|APOA_HUMAN",24.4023628537479,24.3567470939229,25.7116717402997,22.7106146747507,22.7214870681086,24.5947917199349
"125","sp|K2C1_HUMAN|",26.7741274188241,26.87725926428,27.0304409219582,26.7556720897056,27.2152982396112,27.5017058496044
"126","sp|GELS_HUMAN|",25.1590290066016,25.4204870520476,24.3549160032437,26.6025210008926,26.0671387397839,25.7088606993332
"127","sp|P02763|A1AG1_HUMAN",35.2269949367676,34.7782285681045,34.5847469227862,33.6926748062765,34.2441717439217,33.8775253563257
"128","sp|P01857|IGHG1_HUMAN",26.2444657717008,26.2208321899593,25.2669238756112,26.4174523749965,27.3775746545408,28.4671292185461
"129","sp|P01019|ANGT_HUMAN",31.4749690813324,31.930964750443,31.707130898497,30.7571815893813,31.1392160793512,30.9296436983642
"130","sp|P08185|CBG_HUMAN",30.3473496839114,30.383259297157,29.8374846025404,29.5384725469817,29.5622301786641,29.7875622469259
"131","sp|P04278|SHBG_HUMAN",28.6490702534888,29.0329771595432,27.766670194796,27.548302042754,27.1228574918681,27.1222073441154
"132","sp|P02538|K2C6A_HUMAN",21.7913101200706,24.4095771265202,23.5276959284831,24.5908054748465,26.4964850652329,25.0530885791626
"133","sp|P04259|K2C6B_HUMAN;sp|P12035|K2C3_HUMAN",21.7912111789887,24.426750476235,23.6188387357119,24.5908054748465,26.4593225559506,25.0236237515683
"134","sp|P15144|AMPN_HUMAN",25.5518787186196,24.2924639357597,24.6692872949984,25.2220672587239,25.0250649609774,24.9210583038508
"135","sp|P27169|PON1_HUMAN",29.7257408019213,29.6707226575376,29.29655515923,28.4311845184812,28.1237252146982,27.9558856309745
"136","sp|K22E_HUMAN|;sp|Q7Z794|K2C1B_HUMAN",26.7756692557958,26.9776203799987,26.9353377028539,26.9541405338294,27.7573776656456,27.6667357553312
"137","sp|Q13822|ENPP2_HUMAN",24.7355342295396,24.2250655241508,24.0487852678358,25.2690889161033,25.1901295262436,25.3308220360833
"138","sp|P02452|CO1A1_HUMAN",29.0242378820196,29.0667937646948,28.8311305663871,29.264923906251,28.713860436562,28.7753487748264
"139","sp|Q15113|PCOC1_HUMAN",25.8164006951438,26.3636265469177,26.0199572575396,26.3599790249048,25.9668402222952,26.2052237697896
