"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"324","sp|P06744|G6PI_HUMAN",123696.148136556,936770.380959014,3130340.06216615,24605.6034566172,1.01974369994416e-05,402585.7629719
"325","sp|P29279|CTGF_HUMAN",7063943.91269156,7469651.61441536,5792349.50187973,13955398.4656621,47112158.9374203,23082449.9249663
"326","sp|P23470|PTPRG_HUMAN",1155148.65045128,372418.564274755,1646991.10076934,2332350.31643797,7212082.7442315,6224252.07316219
"327","sp|P04070|PROC_HUMAN",4893981.83212077,4058322.33262162,2915665.73298378,3590463.41062286,4121652.33912124,2401616.57765497
"328","sp|P35916|VGFR3_HUMAN",135704.351646829,469304.81993988,179136.193785179,1584833.9524293,1645341.66541831,2298672.68897152
"329","sp|Q76LX8|ATS13_HUMAN",1398847.69677295,2973658.12098449,929543.274794425,6418352.04585105,972979.653564926,1963684.71041896
"330","sp|P03973|SLPI_HUMAN",8497646.81961404,3893458.70786424,7373243.63323975,23753869.7287865,14072463.0592294,20774204.9324697
"331","sp|Q8NBJ4|GOLM1_HUMAN",50059683.0612074,25413036.4593615,47795239.5294924,57702108.5495105,81273572.8855497,52145352.7850376
"332","sp|Q15166|PON3_HUMAN",100505927.381575,45861274.4051391,42843935.6458875,72548277.1300021,41503568.5877274,45010777.3536843
"333","sp|P10645|CMGA_HUMAN",1530178.06728009,242332.683362128,685963.904693859,31968749.6766585,7954919.59867067,9271538.90671115
"334","sp|P00338|LDHA_HUMAN",57984188.8739855,54107888.8853293,95590479.0589849,59087750.9503564,79540008.5956447,114363047.355515
"335","sp|P07195|LDHB_HUMAN;sp|P07864|LDHC_HUMAN;sp|Q9BYZ2|LDH6B_HUMAN",62139722.4099544,55959169.6870046,98217701.5278365,59978521.0651859,84128855.2453934,118559856.432782
"336","sp|P14207|FOLR2_HUMAN",2267233.00240686,1798671.5119766,1710801.11545926,11777960.40719,7955100.2574843,13429789.0472531
"337","sp|Q9HCB6|SPON1_HUMAN",5748331.8386994,9677149.6451211,13439253.3983562,10392318.0063441,10080612.8555355,11016623.8278248
"338","sp|P05164|PERM_HUMAN",2470836.62767948,3800894.65263363,6273249.32652848,1104285.3547723,457033.997907313,6760163.80658297
"339","sp|A1L4H1|SRCRL_HUMAN",669600.065274314,2080160.02684018,1684496.78308076,1667747.17815899,4970041.22215428,1539575.35913163
"340","sp|P11717|MPRI_HUMAN",669376.512259406,154643.976459327,658081.764760153,1089695.03714316,3204039.3521966,951845.939738798
"341","sp|Q96S96|PEBP4_HUMAN",2676142.19230069,78761.9146812389,12934018.3081925,22863099.613957,43033184.1376437,32420350.1218845
"342","sp|P17813|EGLN_HUMAN",1411785.79001427,1231675.72020219,1333571.22974056,4039801.15550924,4244350.41680623,4924299.91898811
"343","sp|P02794|FRIH_HUMAN",3633776.27148304,1904521.83758169,7355123.83649496,4795334.98204421,1991422.90944773,4721057.54251694
"344","sp|P07237|PDIA1_HUMAN",243531.763579659,1543363.77066023,1285850.96305657,1042513.72831213,419121.204984219,1017391.69404505
"345","sp|P05121|PAI1_HUMAN",4388319.41289317,7766293.61829981,2346355.2594618,1434144.21203875,3163266.03532907,4620288.9785381
"346","sp|Q13308|PTK7_HUMAN",1855659.15297895,2325455.93639468,2611397.26497028,2209185.46761113,3071541.84551774,1803546.73910659
