"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1","QPROTmodel","MedI-G",1e-06,0,0,0,0,2
"2","QPROTmodel","MedI-G",2e-06,0,0,0,0,2
"3","QPROTmodel","MedI-G",3e-06,0,0,0,0,2
"4","QPROTmodel","MedI-G",4e-06,0,0,0,0,2
"5","QPROTmodel","MedI-G",5e-06,0,0,0,0,2
"6","QPROTmodel","MedI-G",6e-06,0,0,0,0,3
"7","QPROTmodel","MedI-G",7e-06,0,0,0,0,3
"8","QPROTmodel","MedI-G",8e-06,0,0,0,0,3
"9","QPROTmodel","MedI-G",9e-06,0,0,0,0,3
"10","QPROTmodel","MedI-G",1e-05,0,0,0,0,4
"11","QPROTmodel","MedI-G",2e-05,0,0,0,0,4
"12","QPROTmodel","MedI-G",3e-05,0,0,0,0,4
"13","QPROTmodel","MedI-G",4e-05,0,0,0,0,4
"14","QPROTmodel","MedI-G",5e-05,0,0,0,0,4
"15","QPROTmodel","MedI-G",6e-05,0,0,0,0,5
"16","QPROTmodel","MedI-G",7e-05,0,0,0,0,5
"17","QPROTmodel","MedI-G",8e-05,0,0,0,0,5
"18","QPROTmodel","MedI-G",9e-05,0,0,0,0,5
"19","QPROTmodel","MedI-G",1e-04,0,0,0,0,5
"20","QPROTmodel","MedI-G",2e-04,0,0,0,0,5
"21","QPROTmodel","MedI-G",3e-04,0,0,0,0,6
"22","QPROTmodel","MedI-G",4e-04,0,0,0,0,6
"23","QPROTmodel","MedI-G",5e-04,0,0,0,0,6
"24","QPROTmodel","MedI-G",6e-04,0,0,0,0,6
"25","QPROTmodel","MedI-G",7e-04,0,0,0,0,8
"26","QPROTmodel","MedI-G",8e-04,0,0,0,0,8
"27","QPROTmodel","MedI-G",9e-04,0,0,0,0,8
"28","QPROTmodel","MedI-G",0.001,0,0,0,0,8
"29","QPROTmodel","MedI-G",0.002,0,1,0,1,9
"30","QPROTmodel","MedI-G",0.003,0,1,0,1,9
"31","QPROTmodel","MedI-G",0.004,0,1,0,1,10
"32","QPROTmodel","MedI-G",0.005,0,1,0,1,12
"33","QPROTmodel","MedI-G",0.006,0,2,0,2,13
"34","QPROTmodel","MedI-G",0.007,0,2,0,2,13
"35","QPROTmodel","MedI-G",0.008,0,1,0,1,14
"36","QPROTmodel","MedI-G",0.009,0,1,0,1,14
"37","QPROTmodel","MedI-G",0.01,0,1,0,1,14
"38","QPROTmodel","MedI-G",0.02,0,1,0,1,29
"39","QPROTmodel","MedI-G",0.03,0,1,0,1,38
"40","QPROTmodel","MedI-G",0.04,0,0,0,0,44
"41","QPROTmodel","MedI-G",0.05,0,0,0,0,54
"42","QPROTmodel","MedI-G",0.06,0,0,0,0,67
"43","QPROTmodel","MedI-G",0.07,0,0,0,0,74
"44","QPROTmodel","MedI-G",0.08,0,0,0,0,91
"45","QPROTmodel","MedI-G",0.09,2,0,0,2,97
"46","QPROTmodel","MedI-G",0.1,0,0,0,0,106
