"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"232","sp|P20851|C4BPB_HUMAN",26.6254567571877,26.336174493166,26.5436310164881,26.0281121602818,25.1233178186788,25.177050291112
"233","sp|CAH1_HUMAN|",24.1784583649453,22.97880097561,26.6210709390809,25.8382420877222,23.3274413389033,23.7948810202218
"234","sp|Q6UXB8|PI16_HUMAN",25.1384988865976,25.3408742183687,26.2088483822218,25.4805215377434,25.3025985878746,25.1656779758472
"235","sp|Q9HDC9|APMAP_HUMAN",23.6889756149728,22.8532807434325,22.6883774307228,21.7869636310846,21.5000611695137,21.7424179774224
"236","sp|P12830|CADH1_HUMAN",24.0760788120096,23.9702776670022,24.3309270869073,24.4256550700728,24.1115166858159,24.1352280702256
"237","sp|P00488|F13A_HUMAN",23.4498358585042,24.8503444694623,24.3390989297174,24.0991867008898,23.6470078689968,23.6308895637956
"238","sp|Q6YHK3|CD109_HUMAN",22.2955261437073,21.0052132588297,22.480580895995,22.0327823823983,21.6633487897504,21.8420143826715
"239","sp|P20774|MIME_HUMAN",23.7027846540681,23.0703340029699,23.7420466784542,24.6825107788052,24.6798434018536,24.3055133514893
"240","sp|Q6UWP8|SBSN_HUMAN",18.5699704063881,19.5186377922247,20.7089155647706,20.6361264673654,20.9440778391319,20.5207757952759
"241","sp|P43121|MUC18_HUMAN",23.3817461778121,23.7613985627044,23.5383359390914,23.9538583635019,24.3580402083862,24.1352280702256
"242","sp|P27918|PROP_HUMAN",25.8591656028418,25.9403308065639,26.7245058443635,27.581618009807,27.7315218773828,27.4905858625354
"243","sp|Q86UD1|OAF_HUMAN",23.6546272329018,24.692890189894,24.1099614216315,24.1467798782027,24.223171859145,23.7191092511709
"244","sp|Q16853|AOC3_HUMAN",22.26666601579,21.2976810920417,22.1732047875937,23.9072432634723,23.7682316704688,22.3221026346537
"245","sp|B9A064|IGLL5_HUMAN;sp|P0CG04|LAC1_HUMAN;sp|P0CG06|LAC3_HUMAN;sp|P0CF74|LAC6_HUMAN",31.6271981321989,31.3904948103079,31.7818645554242,33.5884554484921,33.1246913425772,33.5679288167857
"246","sp|P02655|APOC2_HUMAN",29.3908163110105,28.3481281354098,27.2287275694629,28.1389589119139,26.7029755908487,27.4145582882075
"247","sp|P02743|SAMP_HUMAN",29.1756024203365,29.1247906015511,28.6696160797727,27.7396255804839,27.5176452185623,27.4501464059244
"248","sp|P02747|C1QC_HUMAN",30.347249848338,30.322263249553,30.8097908848389,31.3909490017727,30.9701854136837,30.8394914850354
"249","sp|P02792|FRIL_HUMAN",25.4317182341815,24.9406849172893,25.8049495974001,25.1676599213176,23.2955270387203,23.4173519870524
"250","sp|P0DJI9|SAA2_HUMAN",25.2079261550195,23.5885236982225,24.9428300507152,21.6048220176801,21.7297099881827,21.9618843209841
"251","sp|Q14118|DAG1_HUMAN",23.730012420652,23.7876011929247,24.5296593714496,24.6403799248547,24.586217803524,24.3311898963735
"252","sp|P01767|HV306_HUMAN",25.1884283599546,25.6644635597012,25.34298434138,25.600134079901,25.2000245860371,25.4706990651487
"253","sp|Q9Y5Y7|LYVE1_HUMAN",25.1024907771696,25.3319993793469,25.2849445756202,26.5894576987549,26.0129658386873,26.2776145843245
"254","sp|P62258|1433E_HUMAN;sp|P27348|1433T_HUMAN;sp|P61981|1433G_HUMAN;sp|Q04917|1433F_HUMAN;sp|P31947|1433S_HUMAN",26.3832866800866,26.1891241634221,25.9156432426372,23.8176620900356,24.4623332964892,25.6072689584759
