"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"301","sp|P35542|SAA4_HUMAN",485134380.245678,571372574.698889,114183130.377012,225661762.423472,277370286.384812,305317860.371145
"302","sp|P10451|OSTP_HUMAN",76152568.0545009,33996247.4489472,41227183.3573635,21675406.1275177,30286387.8883416,25390694.917463
"303","sp|Q9UGM5|FETUB_HUMAN",29571936.3257326,19270150.1628933,22937673.0934351,12767704.9792227,39871978.6678168,16787236.3090664
"304","sp|P01781|HV320_HUMAN",22420553.0312744,24487396.0585238,20815685.7147472,116789859.499867,81273572.8855497,94008523.3307719
"305","sp|P01768|HV307_HUMAN",2084280.68953531,762881.258913389,1292486.42870489,32958494.2486912,20904745.8488553,41443489.6380077
"306","sp|Q9UHG3|PCYOX_HUMAN",2122667.43057382,594214.643093643,114705.088647613,1745841.91953727,3577099.4036141,3282075.83485384
"307","sp|Q9HCU0|CD248_HUMAN",4267916.2748821,3810448.28061621,8362558.92817006,6272799.23122028,7065572.57226398,6928551.91659034
"308","sp|P05451|REG1A_HUMAN",10050592.7381575,3390380.1478504,7956572.57379309,17023606.6389636,37016696.3079731,43646814.4035727
"309","sp|Q13093|PAFA_HUMAN",2299799.40073616,2266332.97325814,2459642.54032245,6832440.68014871,14582334.9092015,6948132.81446941
"310","sp|P13598|ICAM2_HUMAN",8711385.89555243,3670909.96432846,6037697.29705545,20388738.1838751,10707308.8494137,13115028.3664581
"311","sp|P32119|PRDX2_HUMAN",644036.17680094,3299134.22642935,26171177.6704832,6327027.46004002,1751059.09847979,2723998.61547098
"312","sp|Q15848|ADIPO_HUMAN",77795453.4059305,74387828.5764092,40519854.2311342,213784827.559078,224343613.987716,457452189.42206
"313","sp|P78324|SHPS1_HUMAN",2937798.54182573,2652720.44809625,5549421.20277601,6906248.7130777,20598822.7388721,10046204.0312274
"314","sp|P09382|LEG1_HUMAN",752826.070700897,1422402.10717364,1929268.47384023,2626830.71636682,3472769.55721975,5966065.92105608
"315","sp|P09960|LKHA4_HUMAN",1211627.01603309,1730852.7252808,1885111.04215351,1101237.26117793,2508400.40388334,2730748.31623069
"316","sp|P29401|TKT_HUMAN",3164423.55326114,2096833.46452274,6572573.54070882,1877188.90756154,7745924.94455039,13744549.7280481
"317","sp|P98095|FBLN2_HUMAN",2122369.64793984,2437145.59462468,5390586.73501378,6126844.91086794,11523103.809369,9203618.07385737
"318","sp|Q6UX71|PXDC2_HUMAN",7561844.42246961,3674796.28995462,3293567.849147,7927043.29152146,10911257.5894025,7857403.3926114
"319","sp|P62805|H4_HUMAN",1254291.71745756,40812326.7642064,11317266.0196684,963035.957161752,295779.773344346,3658939.28165193
"320","sp|P15085|CBPA1_HUMAN",321583.14721188,75156.2455723696,299748.672486384,2021821.65563815,11523103.809369,9749370.18408148
"321","sp|P17936|IBP3_HUMAN",16622134.1438758,31303475.373783,40519854.2311342,23753869.7287865,11829026.9193523,28643221.9523446
"322","sp|P16930|FAAA_HUMAN",2561509.86207267,1779338.51672093,2897120.49191614,9851747.11715794,11523103.809369,12590427.2317998
"323","sp|Q02818|NUCB1_HUMAN",2946876.24588446,3564189.1976256,3077632.31777657,2832467.72313176,6824588.99472675,7816742.19867742
