"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"439","sp|P06310|KV206_HUMAN",-0.187857905734893,13.04250541886,1.91344446495447,16.7666462076514,16.8803989352473,1.91344446495447
"440","sp|P01614|KV201_HUMAN",14.0582605773638,-6.32148492844462,-16.6096404744368,-16.6096404744368,-12.4551119511544,19.6825373998118
"441","sp|P02745|C1QA_HUMAN",26.2054622600519,25.7262041561271,25.7055231595945,27.3107038261592,26.7240576408385,24.1884303548438
"442","sp|P01766|HV305_HUMAN",26.496692734408,26.2357293288784,26.3885564755881,28.1405551423942,27.3107038261592,28.2236184071569
"443","sp|P13473|LAMP2_HUMAN",22.919496848939,20.937594619319,22.013915401278,22.2094199963193,22.3487196473176,21.8060502713855
"444","sp|P11684|UTER_HUMAN",23.0106109594778,23.0858940181047,24.9345342171035,24.3885563425181,25.3782281425062,24.5745500866498
"445","sp|P40189|IL6RB_HUMAN",17.6485398302596,-6.32148492844462,-0.187857905734893,20.0606430305768,19.2505605896789,18.6881666605776
"446","sp|P01743|HV102_HUMAN",24.8666743182711,24.0568858808846,24.235343474144,26.5096280630618,25.4252662117119,26.0975205287033
"447","sp|P31949|S10AB_HUMAN",20.937594619319,20.8421730508031,21.4217670838514,18.0555050115396,18.5008686722384,18.9673879445045
"448","sp|P14543|NID1_HUMAN",20.7312635868312,21.4399526061384,21.1639905997541,20.6570471189641,20.6386096695948,21.1331572821387
"449","sp|P35590|TIE1_HUMAN",20.5978080308611,20.8604143430135,18.8112767066254,19.6202515440752,20.3667732144169,20.6165950877555
"450","sp|Q15904|VAS1_HUMAN",20.0606430305768,19.1435409472042,19.703255577866,19.1435409472042,19.3115042426507,19.6008974888276
"451","sp|P28827|PTPRM_HUMAN",18.3226826097146,17.2681844027395,14.2498098324535,19.9867054241994,20.2361180268281,19.5850913240131
"452","sp|P30530|UFO_HUMAN",20.7913096856168,18.5825108274311,19.4605324244168,22.0474227595808,22.013915401278,22.4055887887467
"453","sp|P01714|LV301_HUMAN",24.3885563425181,24.5147788838333,24.2051660403284,26.991732396268,26.475275231899,26.6268812735698
"454","sp|P60900|PSA6_HUMAN",20.6386096695948,20.9222404812844,20.4459316455064,17.8628124893926,17.8628124893926,17.5006584096377
"455","sp|P01593|KV101_HUMAN",28.4614479876796,28.399757200991,27.938117874569,30.3159147672094,29.9802636845736,30.3905945267475
"456","sp|P01613|KV121_HUMAN",24.7563957886209,24.3432447228387,24.8201806226565,27.3247006072136,26.224417007938,26.5919013675562
"457","sp|P01597|KV105_HUMAN",28.3527456925878,28.329180116492,27.808634505927,30.1249273144755,29.8191644732812,30.1500957804812
"458","sp|P01606|KV114_HUMAN",28.3527456925878,28.329180116492,27.808634505927,30.1249273144755,29.8191644732812,30.1500957804812
"459","sp|Q9H6X2|ANTR1_HUMAN",19.1702126681773,19.8611115225094,1.35172659182271,16.5364577272291,18.1880906530579,18.1880906530579
"460","sp|Q9BQE3|TBA1C_HUMAN",18.8898448260367,18.4240170384673,18.6420395300058,14.6723193808179,16.5982317529309,15.0386751398311
"461","sp|Q8NBP7|PCSK9_HUMAN",18.1065132116883,19.0765260963869,18.4240170384673,17.6485398302596,20.2981779678809,14.2498098324535
