"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"439","sp|P06310|KV206_HUMAN",555.220862517647,2164.96293190759,3140.93488833333,85843.1665125448,110077.498084496,6085.8711046776
"440","sp|P01614|KV201_HUMAN",25725.7607529412,1.41254125412541e-05,1.27380952380952e-05,7.67025089605735e-06,8.29457364341085e-06,1162512.91099454
"441","sp|P02745|C1QA_HUMAN",83082352.9411765,57207920.7920792,53882142.8571429,135763440.860215,119441860.465116,22140619.3078324
"442","sp|P01766|HV305_HUMAN",102244444.444444,85741254.1254125,88784523.8095238,269225806.451613,199899224.806202,267402550.091075
"443","sp|P13473|LAMP2_HUMAN",8761856.66371242,2052083.1710231,4063277.70727381,4408729.25549104,6100038.98327132,4599638.56396357
"444","sp|P11684|UTER_HUMAN",9378311.67813072,8577925.51860066,33373809.5238095,20556272.4014337,48689147.2868217,29936612.0218579
"445","sp|P40189|IL6RB_HUMAN",182990.181318954,1.41254125412541e-05,233.175335358333,1104847.37035125,704782.915058915,579449.140287067
"446","sp|P01743|HV102_HUMAN",32449673.2026144,17091749.1749175,20508333.3333333,85139784.9462366,53748837.2093023,75543169.3989071
"447","sp|P31949|S10AB_HUMAN",1943873.70240523,1896448.51540594,2809023.66141667,291051.655176344,381504.02856124,743790.696619308
"448","sp|P14543|NID1_HUMAN",1723632.79383007,2752465.01812541,2282346.0055,1468075.07222222,1897055.65975969,2755728.87742805
"449","sp|P35590|TIE1_HUMAN",1496136.67542484,1927445.75433663,474169.979139286,832508.74674552,1498985.29830233,2009783.55318761
"450","sp|Q15904|VAS1_HUMAN",980024.493898039,461260.104735314,897444.388848809,632817.148244444,758925.560210853,1134040.16889617
"451","sp|P28827|PTPRM_HUMAN",285625.269196078,138321.312775842,26224.9463505952,1082092.69819355,1368764.73062791,1097356.96091075
"452","sp|P30530|UFO_HUMAN",1768651.80738562,341396.105235644,758476.288385714,3801061.77329032,5306066.35988372,6464752.96945719
"453","sp|P01714|LV301_HUMAN",22518954.248366,22318151.8151815,19998809.5238095,113519713.261649,100364341.085271,110703096.539162
"454","sp|P60900|PSA6_HUMAN",1555821.86287582,2019908.7399868,1443748.85490476,233730.449853047,261286.31623876,280635.840772313
"455","sp|P01593|KV101_HUMAN",458771241.830065,364435643.564356,299345238.095238,1158207885.30466,928992248.062016,1146010928.96175
"456","sp|P01613|KV121_HUMAN",29792156.8627451,20905610.5610561,31972619.047619,139598566.308244,92069767.4418605,106805100.182149
"457","sp|P01597|KV105_HUMAN",451777777.777778,358785478.547855,292976190.47619,1104516129.03226,887519379.844961,1099234972.6776
"458","sp|P01606|KV114_HUMAN",451777777.777778,358785478.547855,292976190.47619,1104516129.03226,887519379.844961,1099234972.6776
"459","sp|Q9H6X2|ANTR1_HUMAN",601914.909321569,747528.500686469,2446.62055533333,62758.3649077419,326012.847230233,405994.596260838
"460","sp|Q9BQE3|TBA1C_HUMAN",413381.277597386,308933.8821967,415342.318828571,22011.7906938351,92813.7360364341,56115.8469541712
"461","sp|Q8NBP7|PCSK9_HUMAN",222672.121313725,449201.622988779,381649.954127381,171460.447817921,1452849.31368217,43740.4586042987
