"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"94","sp|P01877|IGHA2_HUMAN",29.7670253277709,28.7571869543402,29.8369681220253,31.6523497501743,30.7920750448506,31.3458796560524
"95","sp|P01860|IGHG3_HUMAN",30.1243930924835,30.5445355119615,30.0555227188105,32.6370500892809,31.5495987770975,31.8323380129879
"96","sp|Q06033|ITIH3_HUMAN",29.6168188847199,29.5735987449742,28.6924508559275,28.3740323235108,28.6133358076064,28.4268628498057
"97","sp|Q92954|PRG4_HUMAN",27.372449344144,27.1552852268448,27.5472339235131,28.2792947505434,27.5456391989457,27.8103362811175
"98","sp|Q07954|LRP1_HUMAN",22.8235301699609,22.5305089606133,22.892569131033,22.9453932112368,23.1831112237121,22.7770025271934
"99","sp|Q99715|COCA1_HUMAN",25.463642740405,23.9013675377765,24.5328837964703,22.1008381394977,23.1709101242593,22.6069031576064
"100","sp|Q96PD5|PGRP2_HUMAN",29.9580400031588,30.2344785147772,29.9210237175942,29.0924543915942,28.9296291891914,28.9279965560215
"101","sp|TRFL_HUMAN|",23.8183694452532,23.7909651918045,25.3998852474085,23.1460466806909,22.4847277029478,24.050769461334
"102","sp|P02749|APOH_HUMAN",32.8173371815016,33.1385482536598,33.3066501703393,32.2235162705255,32.1137504470774,32.305215279547
"103","sp|P51884|LUM_HUMAN",31.2286908249437,31.1386385133744,31.0918995215213,32.0383927018021,31.8868945838874,32.0020253689371
"104","sp|Q14520|HABP2_HUMAN",28.7666437033578,28.5285372137022,28.4165936044157,27.7306432487547,27.602062577619,27.4707390288034
"105","sp|O43866|CD5L_HUMAN",27.2100862451762,27.3191834426371,26.7919686090386,28.7473004915338,29.8070618552251,29.7351220353273
"106","sp|Q16610|ECM1_HUMAN",28.002769963294,28.7452108404277,28.1960199297284,28.5295717907258,27.9750292506811,28.1606918054451
"107","sp|P05160|F13B_HUMAN",26.2217905345273,27.0692533333189,27.0033746994413,26.2219463891764,26.4089654530499,26.0360996936616
"108","sp|P00748|FA12_HUMAN",29.7383654467445,29.3941356036837,29.3411565799246,28.7986274840616,28.8433561442545,28.3914107986569
"109","sp|P07942|LAMB1_HUMAN",23.0295898893851,23.1854812264871,23.9381138682231,24.5639551283231,24.8277971251451,24.5346920715489
"110","sp|P03951|FA11_HUMAN",26.1820563603384,26.7080981716244,27.5555652603383,25.5994792599916,25.4280585713588,25.2155691291734
"111","sp|P12109|CO6A1_HUMAN",27.5758974022384,27.7445057146735,27.036765589588,26.7038812340167,26.5995377146344,27.3475158933685
"112","sp|P26927|HGFL_HUMAN",25.8593516319157,26.5035539520174,25.6309083847451,24.9586573986231,25.0966444920708,24.4868571150967
"113","sp|P01833|PIGR_HUMAN",25.5723706872045,25.3313691147227,27.4759565523722,25.6370949948714,25.7368284969905,25.5986092439303
"114","sp|P35443|TSP4_HUMAN",25.1028661756634,24.1331782813903,23.8062200255888,23.5695837008466,22.0822908822132,23.0929035797847
"115","sp|P04220|MUCB_HUMAN",25.5808813571266,18.659588108748,18.8339369946592,20.8358151715882,17.6834780690167,16.4078239478506
"116","sp|Q03591|FHR1_HUMAN",28.2776101798203,27.6046479157367,26.8965371387675,26.9628759631305,26.8890061851836,26.6399345655994
