"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"416","sp|Q7Z5L7|PODN_HUMAN",20.5470987923891,17.8594538460991,18.464204671597,18.5707219980936,18.4620301847381,18.9127653580105
"417","sp|Q86WI1|PKHL1_HUMAN",12.7247491874954,19.1116187920638,20.1227509857376,19.3092544499486,16.9077402790754,18.4882118661164
"418","sp|P16035|TIMP2_HUMAN",22.5164108752992,17.9844544915354,20.7132907341207,22.3854042171441,21.9838519690164,21.2754089387147
"419","sp|P20023|CR2_HUMAN",18.1358912858238,17.072024939455,17.9356731408572,19.5233302353689,19.753944984778,18.6926755692155
"420","sp|P49746|TSP3_HUMAN",18.9116833936026,18.1797543865046,19.731287118528,15.047725622943,17.5637567659987,17.6813364578902
"421","sp|P49788|TIG1_HUMAN",19.7233794790747,19.3625191786035,20.8853006255742,21.0157091121777,21.0102771881493,20.1732093307825
"422","sp|P55285|CADH6_HUMAN",17.5477902381007,19.3232567164227,18.0340452404729,20.3447599672374,21.7758458476872,20.5072532240084
"423","sp|Q01995|TAGL_HUMAN",19.3235230143716,17.9328604338474,17.713359002215,20.8270136930206,21.9671481769591,21.6792371332705
"424","sp|P69892|HBG2_HUMAN;sp|P02100|HBE_HUMAN",23.7786516487033,22.9710096974302,29.5809275262512,26.8830214041336,21.8608599949701,22.4134423841019
"425","sp|Q13508|NAR3_HUMAN",18.9813777408998,17.8011861452323,19.5268276788772,19.8435218956221,21.6028341390442,20.4189845238082
"426","sp|P30740|ILEU_HUMAN",19.4576470388345,20.9318337684297,21.2310414102772,19.2742108012039,19.5327771852861,20.6458145248879
"427","sp|Q6UVK1|CSPG4_HUMAN",20.5715796531638,19.9653547174229,19.9461749233208,18.5694648214211,18.3596995497524,19.1558407975108
"428","sp|P54289|CA2D1_HUMAN",17.4654893587128,17.188910681201,17.8923770016525,18.755529745692,19.4994155496327,18.0569779254824
"429","sp|O15204|ADEC1_HUMAN",17.7924896337853,19.1778121916951,18.5562113824978,19.8322444257721,19.7714355555896,18.5249002699352
"430","Int_P02741ups|CRP_HUMAN_UPS",22.2311157018094,12.8571671015507,15.7431553251214,18.2940068789185,17.1577464421636,16.545123150989
"431","sp|P04207|KV308_HUMAN",14.2698344171308,16.6935249789949,-16.6064476597969,16.9064986182552,18.2821016814996,18.8770833664238
"432","sp|P04434|KV310_HUMAN",22.7307265902369,21.0055491365403,20.8311363010316,23.4704587061465,22.6114856120902,23.3036338826941
"433","sp|P01605|KV113_HUMAN",16.486627722982,18.0619483950078,17.1871231084853,14.2943313206248,12.2661196947154,19.6697251057861
"434","sp|P06889|LV405_HUMAN",24.3613736755457,24.3556856820762,23.5308729525994,26.8871846287734,26.2926582456922,26.3891163300751
"435","sp|P01701|LV103_HUMAN;sp|P06888|LV109_HUMAN;sp|P01702|LV104_HUMAN",25.6152931908886,24.8990282632662,24.3896770800034,27.7759902406293,26.9683568447748,26.5240210659065
"436","sp|Q12884|SEPR_HUMAN",16.3061514432857,15.7629487519926,14.1298374612644,12.8613163363263,17.480302053032,13.203520982005
"437","sp|P01703|LV105_HUMAN",24.7027161786909,20.4079078780223,19.8142973234986,25.1418789190873,23.0242029982226,25.2200315315267
"438","sp|P01617|KV204_HUMAN",23.947243553313,24.9433333127971,24.7068653964221,25.4960640731008,24.6614635641037,25.0938189693703
