"","V1","V2","V3","V4","V5","V6","V7"
"1","0",1,1,1,2,2,2
"370","sp|P05997|CO5A2_HUMAN",23.2504776322198,23.6512396880647,22.5839267877585,21.4835340938143,22.4689923613891,21.84576146977
"371","sp|Q13790|APOF_HUMAN",27.1448303039516,27.2836317613563,27.2836317613563,24.9823678431069,24.7421465347686,24.6441622349298
"372","sp|Q9NRN5|OLFL3_HUMAN",21.291041984822,22.5006628731854,21.6797094216729,20.5546032610162,20.9030102897173,21.094391351997
"373","sp|P01625|KV402_HUMAN;sp|P06312|KV401_HUMAN",25.4404970226616,26.0665643718597,25.408647825499,26.4174058348046,26.0449394171891,26.904171477314
"374","sp|PPIA_HUMAN|;sp|Q9Y536|PAL4A_HUMAN",20.7179566728976,23.4607596712935,22.9788588095311,21.7677538888989,21.3744098893399,22.0474227595808
"375","sp|P11362|FGFR1_HUMAN",23.0570068783149,23.1344266650122,23.1074805998513,23.2399943843502,23.4023065895005,22.8165605541415
"376","sp|P05062|ALDOB_HUMAN",20.3667732144169,20.7179566728976,21.0640320345409,22.0660756220848,21.9425434584489,22.0351758682521
"377","sp|P16070|CD44_HUMAN",25.0889662050504,24.8643410122235,24.1884303548438,25.140888061385,24.6441622349298,24.1091573506145
"378","sp|P15259|PGAM2_HUMAN",23.2206612039964,22.3592902606082,21.9147203201257,20.0362982541525,18.8570293826248,20.4459316455064
"379","sp|Q9Y4L1|HYOU1_HUMAN;sp|Q9BXT5|TEX15_HUMAN",22.4615892158794,22.919496848939,22.4689923613891,22.919496848939,23.0026355538827,22.9788588095311
"380","sp|P08107|HSP71_HUMAN;sp|P17066|HSP76_HUMAN",22.3219354806033,21.6028322019291,21.1512963608586,18.9010900568717,18.2999578083806,18.1065132116883
"381","sp|P00533|EGFR_HUMAN",19.8916443439985,20.0606430305768,19.0765260963869,20.5286038500345,20.3374159288986,19.8705389654008
"382","sp|Q06828|FMOD_HUMAN",21.3070986803112,20.1822967732281,22.0660756220848,20.5176199879256,21.6955914583849,20.7179566728976
"383","sp|P13987|CD59_HUMAN",21.006223422133,20.4871886576038,20.9684442345543,22.5686542353441,20.7601142225786,22.2554701151099
"384","sp|P04746|AMYP_HUMAN",14.7553802624672,15.190800678666,15.190800678666,17.9846504409227,18.8112767066254,17.1121608725808
"385","sp|O95479|G6PE_HUMAN",23.1938570433899,22.3487196473176,21.8060502713855,19.9433237449515,20.8275300163122,18.5825108274311
"386","sp|Q9UBG0|MRC2_HUMAN",21.0640320345409,19.5333976994983,20.2530355121511,20.9861420936029,21.3872354867074,20.9552134150384
"387","sp|Q92626|PXDN_HUMAN",21.7236545144915,20.7601142225786,20.8604143430135,18.1880906530579,19.4605324244168,18.6420395300058
"388","sp|Q86YZ3|HORN_HUMAN",20.7601142225786,19.2505605896789,16.308668623193,17.6047072160307,19.0765260963869,19.0765260963869
"389","sp|P21810|PGS1_HUMAN",19.5850913240131,19.9732684666667,19.0234794696918,19.3649181382622,19.5165590031141,19.3649181382622
"390","sp|O15031|PLXB2_HUMAN",16.308668623193,18.9010900568717,15.0386751398311,19.6825373998118,19.6008974888276,19.703255577866
"391","sp|Q99542|MMP19_HUMAN",18.9673879445045,18.4462716365775,19.9732684666667,20.285244878136,17.2031037226663,20.1822967732281
"392","sp|Q16627|CCL14_HUMAN",21.996532474787,22.7869236699613,23.182068878264,23.6292761981445,24.2751099557715,23.6452031355951
